_Threshold,BMDseg[mg/cc],BV/TV[1],gDSM-BS/BV[1/mm],gDSM-Tb.N[1/mm],DT-Tb.Th[mm],DT-Tb.Sp[mm],MIL.Avg[mm],File,DT-Tb.Sp.SD,DT-Tb.Th.SD,DT-wTb.Sp.SD,DT-wTb.Sp[mm],DT-wTb.Th.SD,DT-wTb.Th[mm],gDSM-Tb.Sp[mm],gDSM-Tb.Th[mm],,,,,,,,,,,,,,,
124,202,517,0,265228,5,10403,0,676866,0,402975,0,935774,0,794317,BA33_120_2Slices.xml,0,423058,0,226271,0,456173,0,949302,0,656624,0,767032,1,8555,0,391848
124,215,905,0,242203,4,59962,0,557022,0,495919,1,20815,0,882457,BA28_120_2Slices.xml,0,544358,0,304986,0,571422,1,21942,0,110327,0,104919,1,36044,0,434818
124,214,144,0,246579,4,77039,0,58814,0,460411,1,11437,0,848874,BA28_120_3Slices.xml,0,487662,0,260411,0,515643,1,12614,0,857878,0,947433,1,28102,0,419253
124,231,257,0,214402,4,2832,0,43184,0,601192,1,66227,1,261,BA29_120_1Slices.xml,0,811935,0,382683,0,830501,1,66772,0,13302,0,137933,1,81919,0,496485
124,218,873,0,201723,5,4803,0,509154,0,499763,1,25172,0,7969,BA29_120_3Slices.xml,0,582058,0,398483,0,602238,1,25209,0,153708,0,117392,1,56785,0,396194
124,214,605,0,23386,4,88422,0,57111,0,438189,1,22223,0,826541,BA30_120_3Slices.xml,0,609723,0,275116,0,635567,1,23227,0,101266,0,939834,1,34149,0,409482
124,220,86,0,2338,4,41251,0,515823,0,499826,1,48285,0,914935,BA31_120_2Slices.xml,0,749439,0,29468,0,779853,1,4967,0,101327,0,107428,1,48539,0,453257
124,213,61,0,239655,4,96777,0,595276,0,442848,1,8164,0,816845,BA32_120_1Slices.xml,0,480114,0,253613,0,50605,1,9083,0,870052,0,917021,1,2773,0,402595
124,213,132,0,23043,4,90279,0,564876,0,453525,1,14456,0,82773,BA32_120_2Slices.xml,0,493063,0,260222,0,516928,1,15122,0,936244,0,948069,1,36237,0,407931
124,210,466,0,252612,4,6234,0,583964,0,4539,1,16694,0,8751,BA32_120_3Slices.xml,0,555486,0,258679,0,585508,1,18105,0,813358,0,911519,1,27985,0,432582
124,204,726,0,263984,5,4215,0,665525,0,408235,0,954706,0,80492,BA33_120_1Slices.xml,0,430872,0,224877,0,461562,0,968075,0,65543,0,78411,1,10592,0,396656
124,214,555,0,244805,4,48195,0,548602,0,499554,1,24563,0,905306,BA34_120_3Slices.xml,0,598449,0,30553,0,627391,1,25814,0,101418,0,104134,1,37658,0,446234
124,206,93,0,264316,4,94682,0,653762,0,414431,0,982822,0,818906,BA35_120_1Slices.xml,0,445574,0,240695,0,476019,0,996999,0,723525,0,80882,1,12531,0,4043
124,207,86,0,262467,5,1661,0,658348,0,407588,0,955733,0,80855,BA35_120_2Slices.xml,0,422716,0,229001,0,452062,0,968894,0,685794,0,795169,1,12028,0,398676
124,206,627,0,261654,5,13403,0,67167,0,396678,0,939002,0,788869,BA35_120_3Slices.xml,0,431744,0,228497,0,461736,0,952129,0,688943,0,774592,1,9927,0,389557
124,217,227,0,232026,5,2212,0,582631,0,428728,1,12524,0,806104,BA36_120_1Slices.xml,0,522421,0,247026,0,543002,1,13253,0,868585,0,908012,1,31811,0,398238
124,217,539,0,227076,4,85878,0,551656,0,450733,1,24124,0,834252,BA36_120_3Slices.xml,0,626816,0,273444,0,64826,1,24819,0,100298,0,973884,1,4011,0,411626
